symbol,方向,進場時間,進場價,出場時間,出場價,出場原因,毛損益%,淨損益%,鎖定high,鎖定low
6462,空,2025-12-26 09:30:00,124.0,2025-12-26 13:25:00,123.5,收盤平倉,0.403,0.182,125.0,124.5
6462,空,2025-12-29 10:20:00,123.0,2025-12-29 13:25:00,122.5,收盤平倉,0.407,0.185,125.0,123.0
6462,空,2025-12-30 09:25:00,121.0,2025-12-30 13:25:00,121.0,收盤平倉,0.0,-0.221,122.5,121.0
6462,空,2025-12-31 09:45:00,121.0,2025-12-31 10:50:00,122.4,移動停利,-1.157,-1.378,123.5,121.0
6462,空,2026-01-02 10:40:00,121.0,2026-01-02 13:25:00,120.0,收盤平倉,0.826,0.605,123.0,121.0
6462,空,2026-01-05 09:35:00,118.5,2026-01-05 13:25:00,113.5,收盤平倉,4.219,3.998,122.0,119.5
6462,空,2026-01-06 09:05:00,113.5,2026-01-06 09:15:00,115.0,EXIT,-1.322,-1.543,114.5,113.5
6462,空,2026-01-07 09:30:00,113.0,2026-01-07 11:30:00,113.22,移動停利,-0.195,-0.416,115.5,114.0
6462,空,2026-01-08 10:40:00,113.5,2026-01-08 11:30:00,115.5,EXIT,-1.762,-1.983,115.0,114.0
6462,空,2026-01-09 09:30:00,115.5,2026-01-09 13:25:00,115.0,收盤平倉,0.433,0.212,119.0,117.0
6462,空,2026-01-12 11:30:00,117.5,2026-01-12 13:25:00,117.5,收盤平倉,0.0,-0.221,118.5,117.5
6462,空,2026-01-13 09:05:00,117.0,2026-01-13 13:25:00,114.0,收盤平倉,2.564,2.343,117.5,117.0
6462,空,2026-01-14 11:15:00,116.0,2026-01-14 12:30:00,117.0,EXIT,-0.862,-1.083,116.5,116.0
6462,空,2026-01-15 09:05:00,115.5,2026-01-15 13:25:00,116.0,收盤平倉,-0.433,-0.654,117.0,116.0
6462,空,2026-01-16 09:20:00,117.5,2026-01-16 13:25:00,116.5,收盤平倉,0.851,0.63,120.5,118.5
6462,空,2026-01-19 09:05:00,116.0,2026-01-19 09:20:00,117.81,移動停利,-1.56,-1.782,117.0,116.5
6462,空,2026-01-20 09:05:00,118.0,2026-01-20 13:25:00,118.0,收盤平倉,0.0,-0.221,119.5,119.0
6462,空,2026-01-21 09:05:00,115.5,2026-01-21 13:25:00,115.0,收盤平倉,0.433,0.212,117.0,116.0
6462,空,2026-01-22 10:35:00,115.0,2026-01-22 13:25:00,115.0,收盤平倉,0.0,-0.221,117.0,115.0
6462,空,2026-01-23 11:05:00,116.0,2026-01-23 13:25:00,115.5,收盤平倉,0.431,0.21,118.0,116.0
6462,空,2026-01-26 09:25:00,116.5,2026-01-26 13:25:00,117.5,收盤平倉,-0.858,-1.08,119.5,116.5
6462,空,2026-01-27 09:15:00,116.0,2026-01-27 10:50:00,116.79,移動停利,-0.681,-0.902,117.5,116.0
6462,空,2026-01-28 09:15:00,115.0,2026-01-28 13:10:00,115.26,移動停利,-0.226,-0.447,117.5,116.0
6462,空,2026-01-29 09:30:00,114.5,2026-01-29 12:00:00,115.26,移動停利,-0.664,-0.885,117.5,114.5
6462,空,2026-01-30 11:10:00,116.0,2026-01-30 13:25:00,114.5,收盤平倉,1.293,1.072,120.0,117.0
6462,空,2026-02-02 09:05:00,110.5,2026-02-02 13:25:00,107.0,收盤平倉,3.167,2.946,116.0,114.5
6462,空,2026-02-03 10:15:00,106.0,2026-02-03 13:25:00,108.12,移動停利,-2.0,-2.221,110.5,107.0
6462,空,2026-02-04 09:40:00,107.0,2026-02-04 10:55:00,108.5,EXIT,-1.402,-1.623,108.0,107.0
6462,空,2026-02-05 11:25:00,111.5,2026-02-05 13:25:00,111.5,收盤平倉,0.0,-0.221,113.5,112.5
6462,空,2026-02-06 09:05:00,108.0,2026-02-06 10:10:00,107.61,移動停利,0.361,0.14,111.5,110.5
6462,空,2026-02-09 09:30:00,110.5,2026-02-09 10:30:00,111.69,移動停利,-1.077,-1.298,115.0,111.0
6462,空,2026-02-10 09:20:00,116.0,2026-02-10 13:25:00,112.5,收盤平倉,3.017,2.796,121.5,117.5
6462,空,2026-02-11 09:55:00,113.0,2026-02-11 13:25:00,109.5,收盤平倉,3.097,2.876,117.0,113.0
6462,空,2026-02-23 09:05:00,108.5,2026-02-23 09:55:00,109.65,移動停利,-1.06,-1.281,110.0,109.5
6462,空,2026-02-24 11:05:00,113.0,2026-02-24 13:25:00,114.0,收盤平倉,-0.885,-1.106,115.5,114.0
6462,空,2026-02-26 10:30:00,121.0,2026-02-26 13:25:00,119.5,收盤平倉,1.24,1.018,124.5,122.0
6462,空,2026-03-02 09:05:00,117.0,2026-03-02 11:50:00,117.81,移動停利,-0.692,-0.914,121.5,119.5
6462,空,2026-03-03 09:45:00,117.0,2026-03-03 13:25:00,114.0,收盤平倉,2.564,2.343,120.5,117.0
6462,空,2026-03-04 09:05:00,110.0,2026-03-04 09:35:00,108.12,移動停利,1.709,1.488,115.0,114.0
6462,空,2026-03-05 10:00:00,105.5,2026-03-05 13:25:00,106.5,收盤平倉,-0.948,-1.169,108.5,106.0
6462,空,2026-03-06 09:20:00,105.0,2026-03-06 10:15:00,106.59,移動停利,-1.514,-1.736,107.0,106.5
6462,空,2026-03-09 09:05:00,98.6,2026-03-09 13:05:00,98.43,移動停利,0.172,-0.049,106.0,105.0
6462,空,2026-03-10 11:30:00,102.5,2026-03-10 13:20:00,103.02,移動停利,-0.507,-0.729,104.0,102.5
6462,空,2026-03-11 12:00:00,105.5,2026-03-11 13:25:00,105.5,收盤平倉,0.0,-0.221,106.5,106.0
6462,空,2026-03-12 09:15:00,105.5,2026-03-12 09:30:00,106.5,EXIT,-0.948,-1.169,106.0,105.5
6462,空,2026-03-13 09:05:00,100.5,2026-03-13 10:00:00,102.0,移動停利,-1.493,-1.714,104.5,104.0
6462,空,2026-03-16 09:05:00,99.9,2026-03-16 09:45:00,100.98,移動停利,-1.081,-1.302,101.5,101.0
6462,空,2026-03-17 09:05:00,101.0,2026-03-17 11:25:00,102.0,移動停利,-0.99,-1.211,103.0,101.5
6462,空,2026-03-18 12:20:00,102.0,2026-03-18 13:25:00,103.0,收盤平倉,-0.98,-1.202,103.5,102.0
6462,空,2026-03-19 09:10:00,102.0,2026-03-19 13:25:00,98.7,收盤平倉,3.235,3.014,103.5,102.5
6462,空,2026-03-20 11:45:00,101.5,2026-03-20 13:25:00,101.5,收盤平倉,0.0,-0.221,104.0,102.0
6462,空,2026-03-23 09:05:00,99.5,2026-03-23 09:50:00,100.37,移動停利,-0.874,-1.096,102.0,101.0
6462,空,2026-03-24 09:55:00,97.9,2026-03-24 10:20:00,98.33,移動停利,-0.439,-0.66,101.0,98.0
6462,空,2026-03-25 12:45:00,99.4,2026-03-25 13:25:00,99.4,收盤平倉,0.0,-0.221,100.5,99.7
6462,空,2026-03-27 09:05:00,102.5,2026-03-27 09:10:00,104.55,移動停利,-2.0,-2.221,107.5,104.0
6462,空,2026-03-30 09:05:00,102.0,2026-03-30 09:45:00,103.53,移動停利,-1.5,-1.721,105.0,103.0
6462,空,2026-03-31 09:05:00,100.0,2026-03-31 09:25:00,100.98,移動停利,-0.98,-1.201,102.5,101.5
6462,空,2026-04-02 09:20:00,106.0,2026-04-02 09:55:00,106.59,移動停利,-0.557,-0.778,109.5,107.0
6462,空,2026-04-07 09:30:00,107.5,2026-04-07 13:25:00,101.0,收盤平倉,6.047,5.825,110.5,108.0
6462,空,2026-04-08 10:25:00,102.5,2026-04-08 12:10:00,104.55,移動停利,-2.0,-2.221,106.5,103.0
6462,空,2026-04-09 09:30:00,103.5,2026-04-09 09:50:00,104.04,移動停利,-0.522,-0.743,106.5,104.0
6462,空,2026-04-10 10:15:00,103.5,2026-04-10 12:00:00,105.06,移動停利,-1.507,-1.728,106.0,103.5
6462,空,2026-04-13 11:35:00,106.5,2026-04-13 13:25:00,106.0,收盤平倉,0.469,0.248,108.0,107.0
6462,空,2026-04-14 09:25:00,106.0,2026-04-14 09:40:00,108.0,EXIT,-1.887,-2.108,107.5,106.0
6462,空,2026-04-15 10:40:00,106.0,2026-04-15 12:20:00,106.08,移動停利,-0.075,-0.297,107.5,106.0
6462,空,2026-04-17 11:45:00,120.0,2026-04-17 13:15:00,121.89,移動停利,-1.575,-1.796,122.0,120.5
6462,空,2026-04-20 09:30:00,124.5,2026-04-20 10:35:00,123.42,移動停利,0.867,0.646,129.0,125.0
6462,空,2026-04-23 09:05:00,139.0,2026-04-23 09:10:00,140.25,移動停利,-0.899,-1.121,143.5,143.5
6462,空,2026-04-24 09:40:00,126.0,2026-04-24 09:50:00,126.48,移動停利,-0.381,-0.602,133.0,128.5
6462,空,2026-04-27 09:10:00,118.5,2026-04-27 09:15:00,120.87,移動停利,-2.0,-2.221,122.5,121.5
6462,空,2026-04-28 11:40:00,119.0,2026-04-28 13:25:00,119.5,收盤平倉,-0.42,-0.641,120.0,119.0
6462,空,2026-04-29 12:45:00,121.0,2026-04-29 13:25:00,121.0,收盤平倉,0.0,-0.221,124.0,121.0
6462,空,2026-04-30 11:05:00,123.5,2026-04-30 13:25:00,122.0,收盤平倉,1.215,0.993,129.0,124.0
6462,空,2026-05-04 10:55:00,122.5,2026-05-04 13:25:00,123.5,收盤平倉,-0.816,-1.038,126.0,123.0
6462,空,2026-05-06 09:20:00,130.5,2026-05-06 11:35:00,128.01,移動停利,1.908,1.687,134.5,130.5
6462,空,2026-05-07 10:45:00,126.5,2026-05-07 13:25:00,127.0,收盤平倉,-0.395,-0.617,133.5,127.0
6462,空,2026-05-08 10:15:00,127.0,2026-05-08 10:40:00,127.5,移動停利,-0.394,-0.615,131.5,127.0
